COUNTY,FIPCO,P1I1
" " ,"5-DIGIT COUNTY FIPS CD" ,"PERSONS"
,,248709873
,,187053487
,,158258878
,,78847406
,,79411472
,,28794609
,,13825022
,,14969587
,,61656386
,,7050858
,,3801051
,,50804477
,,192725741
,,166201536
,,26524205
,,77843533
,,114882208
,,88439928
,,79755134
,,8684794
,,26442280
,,55984132
,,20851951
,,1520259
,,19331692
,,9873345
,,9458347
,,35132181
,,807817
,,2082377
,,1616872
,,77700
,,50809229
,,40091737
,,36656966
,,16731592
,,19925374
,,3434771
,,1307256
,,2127515
,,10717492
,,1219219
,,272431
,,9225842
,,44791229
,,38145271
,,6645958
,,16689427
,,28101802
,,21458024
,,19859374
,,1598650
,,6643778
,,6018000
,,1946466
,,245906
,,1700560
,,767863
,,932697
,,4071534
,,15898
,,0
,,37084
,,0
,,59668632
,,42774196
,,34274656
,,17413410
,,16861246
,,8499540
,,4251020
,,4248520
,,16894436
,,2279843
,,1839846
,,12774747
,,42688503
,,36413538
,,6274965
,,17546011
,,25142492
,,18869546
,,16884008
,,1985538
,,6272946
,,16980129
,,6360658
,,41429
,,6319229
,,3444196
,,2875033
,,10619471
,,169734
,,0
,,273
,,0
,,85445930
,,58656267
,,47741859
,,25022856
,,22719003
,,10914408
,,5253036
,,5661372
,,26789663
,,2532571
,,1234780
,,23022312
,,60588078
,,50234454
,,10353624
,,24714263
,,35873815
,,25583563
,,22534267
,,3049296
,,10290252
,,24857852
,,8421813
,,779142
,,7642671
,,3694588
,,3948083
,,16436039
,,56157
,,2082377
,,1134363
,,0
,,52786082
,,45531287
,,39585397
,,19679548
,,19905849
,,5945890
,,3013710
,,2932180
,,7254795
,,1019225
,,453994
,,5781576
,,44657931
,,41408273
,,3249658
,,18893832
,,25764099
,,22528795
,,20477485
,,2051310
,,3235304
,,8128151
,,4123014
,,453782
,,3669232
,,1966698
,,1702534
,,4005137
,,566028
,,0
,,445152
,,77700
,,13206943
,,9829175
,,8703887
,,4007327
,,4696560
,,1125288
,,477502
,,647786
,,3377768
,,319668
,,12041
,,3046059
,,10598247
,,8858817
,,1739430
,,3916047
,,6682200
,,4943669
,,4609477
,,334192
,,1738531
,,2608696
,,970358
,,179262
,,791096
,,378700
,,412396
,,1638338
,,1830
,,0
,,36275
,,0
,,37602286
,,30262562
,,27953079
,,12724265
,,15228814
,,2309483
,,829754
,,1479729
,,7339724
,,899551
,,260390
,,6179783
,,34192982
,,29286454
,,4906528
,,12773380
,,21419602
,,16514355
,,15249897
,,1264458
,,4905247
,,3409304
,,976108
,,66644
,,909464
,,389163
,,520301
,,2433196
,,14068
,,0
,,809
,,0
,,42008942
,,31073858
,,26105531
,,12933470
,,13172061
,,4968327
,,2383529
,,2584798
,,10935084
,,1278032
,,804761
,,8852291
,,32556943
,,27679493
,,4877450
,,13027176
,,19529767
,,14652527
,,13213085
,,1439442
,,4877240
,,9451999
,,3394365
,,21758
,,3372607
,,1797173
,,1575434
,,6057634
,,58644
,,0
,,0
,,0
,,17659690
,,11700338
,,8169125
,,4479940
,,3689185
,,3531213
,,1867491
,,1663722
,,5959352
,,1001811
,,1035085
,,3922456
,,10131560
,,8734045
,,1397515
,,4518835
,,5612725
,,4217019
,,3670923
,,546096
,,1395706
,,7528130
,,2966293
,,19671
,,2946622
,,1647023
,,1299599
,,4561837
,,111090
,,0
,,273
,,0
,,43566853
,,30231280
,,26243592
,,10497604
,,15745988
,,3987688
,,1619686
,,2368002
,,13335573
,,1052024
,,433970
,,11849579
,,32460936
,,26888370
,,5572566
,,10099819
,,22361117
,,16822585
,,15549625
,,1272960
,,5538532
,,11105917
,,3342910
,,643267
,,2699643
,,1164591
,,1535052
,,7763007
,,9452
,,0
,,233586
,,0
,,15176284
,,8530551
,,5952240
,,3768607
,,2183633
,,2578311
,,1329202
,,1249109
,,6645733
,,570041
,,287225
,,5788467
,,8512859
,,6428977
,,2083882
,,3784482
,,4728377
,,2658378
,,2161366
,,497012
,,2069999
,,6663425
,,2101574
,,119647
,,1981927
,,1019590
,,962337
,,4561851
,,4285
,,0
,,0
,,0
,,26702793
,,19894436
,,15546027
,,10756645
,,4789382
,,4348409
,,2304148
,,2044261
,,6808357
,,910506
,,513585
,,5384266
,,19614283
,,16917107
,,2697176
,,10829962
,,8784321
,,6102600
,,4823276
,,1279324
,,2681721
,,7088510
,,2977329
,,16228
,,2961101
,,1510407
,,1450694
,,4111181
,,42420
,,2082377
,,900777
,,0
,,13658776
,,10881341
,,8515477
,,4953077
,,3562400
,,2365864
,,1176517
,,1189347
,,2777435
,,469129
,,261309
,,2046997
,,9178543
,,8560197
,,618346
,,4803487
,,4375056
,,3764491
,,3411201
,,353290
,,610565
,,4480233
,,2321144
,,345922
,,1975222
,,1024419
,,950803
,,2159089
,,416512
,,0
,,0
,,0
,,39127306
,,34649946
,,31069920
,,14726471
,,16343449
,,3580026
,,1837193
,,1742833
,,4477360
,,550096
,,192685
,,3734579
,,35479388
,,32848076
,,2631312
,,14090345
,,21389043
,,18764304
,,17066284
,,1698020
,,2624739
,,3647918
,,1801870
,,107860
,,1694010
,,942279
,,751731
,,1846048
,,149516
,,0
,,445152
,,77700
,,4040587
,,2439549
,,1839966
,,1181030
,,658936
,,599583
,,245534
,,354049
,,1601038
,,151304
,,87351
,,1362383
,,2723265
