FIPCO,TotPop
"5-DIGIT COUNTY FIPS CD" ,"Total Persons"
,248709873
,50809229
,59668632
,85445930
,52786082
,13206943
,37602286
,42008942
,17659690
,43566853
,15176284
,26702793
,13658776
,39127306
,4040587
,550043
,3665228
,2350725
,29760021
,3294394
,3287116
,666168
,606900
,12937926
,6478216
,1108229
,1006749
,11430602
,5544159
,2776755
,2477574
,3685296
,4219973
,1227928
,4781468
,6016425
,9295297
,4375099
,2573216
,5117073
,799065
,1578385
,1201833
,1109252
,7730188
,1515069
,17990455
,6628637
,638800
,10847115
,3145585
,2842321
,11881643
,1003464
,3486703
,696004
,4877185
,16986510
,1722850
,562758
,6187358
,4866692
,1793477
,4891769
,453588
01001,34222
01003,98280
01005,25417
01007,16576
01009,39248
01011,11042
01013,21892
01015,116034
01017,36876
01019,19543
01021,32458
01023,16018
01025,27240
01027,13252
01029,12730
01031,40240
01033,51666
01035,14054
01037,11063
01039,36478
01041,13635
01043,67613
01045,49633
01047,48130
01049,54651
01051,49210
01053,35518
01055,99840
01057,17962
01059,27814
01061,23647
01063,10153
01065,15498
01067,15374
01069,81331
01071,47796
01073,651525
01075,15715
01077,79661
01079,31513
01081,87146
01083,54135
01085,12658
01087,24928
01089,238912
01091,23084
01093,29830
01095,70832
01097,378643
01099,23968
01101,209085
01103,100043
01105,12759
01107,20699
01109,27595
01111,19881
01113,46860
01115,50009
01117,99358
01119,16174
01121,74107
01123,38826
01125,150522
01127,67670
01129,16694
01131,13568
01133,22053
02013,2464
02016,9478
02020,226338
02050,13656
02060,1410
02070,4012
02090,77720
02100,2117
02110,26751
02122,40802
02130,13828
02150,13309
02164,1668
02170,39683
02180,8288
02185,5979
02188,6113
02201,6278
02220,8588
02231,4385
02240,5913
02261,9952
02270,5791
02280,7042
02290,8478
04001,61591
04003,97624
04005,96591
04007,40216
04009,26554
04011,8008
04012,13844
04013,2122101
04015,93497
04017,77658
04019,666880
04021,116379
04023,29676
04025,107714
04027,106895
05001,21653
05003,24319
05005,31186
05007,97499
05009,28297
05011,11793
05013,5826
05015,18654
05017,15713
05019,21437
05021,18107
05023,19411
05025,7781
05027,25691
05029,19151
05031,68956
05033,42493
05035,49939
05037,19225
05039,9614
05041,16798
05043,17369
05045,60006
05047,14897
05049,10037
05051,73397
05053,13948
05055,31804
05057,21621
05059,26115
05061,13569
05063,31192
05065,11364
05067,18944
05069,85487
05071,18221
05073,9643
05075,17457
05077,13053
05079,13690
05081,13966
05083,20557
05085,39268
05087,11618
05089,12001
05091,38467
05093,57525
05095,11333
05097,7841
05099,10101
05101,7666
05103,30574
05105,7969
05107,28838
05109,10086
05111,24664
05113,17347
05115,45883
05117,9518
05119,349660
05121,16558
05123,28497
05125,64183
05127,10205
05129,7841
05131,99590
05133,13637
05135,14109
05137,9775
05139,46719
05141,14008
05143,113409
05145,54676
05147,9520
05149,17759
06001,1279182
06003,1113
06005,30039
06007,182120
06009,31998
06011,16275
06013,803732
06015,23460
06017,125995
06019,667490
06021,24798
06023,119118
06025,109303
06027,18281
06029,543477
06031,101469
06033,50631
06035,27598
06037,8863164
06039,88090
06041,230096
06043,14302
06045,80345
06047,178403
06049,9678
06051,9956
06053,355660
06055,110765
06057,78510
06059,2410556
